tractcode,NEAR_DIST_road,avg_tract_fuel_sales,Lat,Long
4001945002,0.001129,1928634.4856250002,35.363334,-109.048217
4003000901,0.000366,221851.262,31.345094,-109.545918
4003001100,0.016721,125071.80679999998,31.411658,-109.878476
4003001602,0.014763,281795.1476,31.55455,-110.272091
4005000400,0.00049,367106.0164,35.224863,-111.583427
4007001100,0.000725,267579.7852173913,33.396224,-110.769657
4015953602,0.000486,497199.96239999984,35.192146,-114.069506
4017960600,0.00048,415486.09040000004,35.036933,-110.723925
4019004426,0.001988,624488.0403999998,32.358079,-111.09212
4021000400,0.000053,252446.88041666665,33.287408,-111.104894
4021001405,0.000937,225075.3776,32.880566,-111.690492
4021001500,0.000569,663805.5604,32.87993,-111.774904
4021001707,0.000632,38637.5675,33.058289,-112.048675
4021002001,0.001757,200404.52040000004,32.779877,-111.62012
4025000401,0.029902,253966.592,34.599766,-112.455945
4025000802,0.000317,241158.10440000004,34.548166,-112.443797
4025001601,0.000606,416703.7932,34.581,-111.886348
4027000501,0.00027,126315.815,32.698404,-114.650731
16005001601,0.005155,227509.582,42.87267,-112.462
16011950100,0.000414,252616.24039999998,43.37427,-112.129
16011950500,0.000777,311390.6308333333,43.20694,-112.326
16019970300,0.006249,210106.71080000006,43.59067,-111.963
16019970601,0.000687,496856.38479999994,43.53018,-111.983
16019970602,0.027991,196555.3388,43.49628,-111.984
16019971200,0.004626,143417.2107142857,43.51488,-112.047
16019971400,0.000526,328486.05199999997,43.43943,-112.115
16051960300,0.000404,441094.90180000005,43.67078,-111.915
16051960300,0.000789,441094.90180000005,43.6813,-111.908
16059970200,0.000694,215587.02360000004,45.1738,-113.887
16065950302,0.001653,652176.3636,43.80521,-111.811
